,player,id
748,Ryan Anderson,201583
751,Dennis Schroder,203471
761,Serge Ibaka,201586
763,Tyson Chandler,2199
765,Jerryd Bayless,201573
766,Richard Jefferson,2210
782,Victor Oladipo,203506
785,Tony Snell,203503
786,Dion Waiters,203079
794,Kent Bazemore,203145
797,Nemanja Bjelica,202357
798,Tayshaun Prince,2419
801,Klay Thompson,202691
803,Terrence Ross,203082
808,Gerald Henderson,201945
812,Andre Drummond,203083
813,Nicolas Batum,201587
816,James Anderson,202341
818,Arron Afflalo,201167
820,Cody Zeller,203469
821,Marcus Morris,202694
825,Derrick Rose,201565
826,Myles Turner,1626167
831,Luis Scola,2449
834,Marcin Gortat,101162
837,Kawhi Leonard,202695
846,Devin Harris,2734
847,Shane Larkin,203499
850,Darren Collison,201954
851,Justin Anderson,1626147
856,JaKarr Sampson,203960
857,Nerlens Noel,203457
862,Giannis Antetokounmpo,203507
864,Andre Iguodala,2738
866,Stanley Johnson,1626169
867,Alonzo Gee,202087
868,Gary Harris,203914
869,Chris Bosh,2547
874,Evan Fournier,203095
879,Mario Hezonja,1626209
880,Jared Dudley,201162
882,John Henson,203089
887,Rashad Vaughn,1626173
889,Andre Roberson,203460
892,Jonas Jerebko,201973
893,Aron Baynes,203382
895,Markieff Morris,202693
896,Alex Len,203458
900,Dwight Howard,2730
901,Paul Pierce,1718
906,Patty Mills,201988
907,Greg Monroe,202328
909,Emmanuel Mudiay,1626144
912,Kristaps Porzingis,204001
914,Chandler Parsons,202718
921,Ed Davis,202334
922,Gerald Green,101123
923,Nikola Mirotic,202703
927,Otto Porter,203490
928,Nikola Jokic,203999
931,DJ Augustin,201571
933,Jimmy Butler,202710
935,Andrew Bogut,101106
936,Derrick Favors,202324
937,Johnny O'Bryant,203948
940,Jrue Holiday,201950
941,Terrence Jones,203093
945,Jeremy Lin,202391
948,Alexis Ajinca,201582
949,Tyler Zeller,203092
953,Paul George,202331
