,cfga,cfgm,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Pau Gasol,8.730337078651685,4.179775280898877,2.155955056179776,3.806741573033708,68.23595505617978,48.02247191011236,0.5842696629213483,0.3595505617977528,4.853932584269663,10.292134831460674,4.853932584269663
Joakim Noah,4.646341463414634,2.0365853658536586,2.0253658536585366,3.9512195121951215,67.78048780487805,56.48780487804878,0.7073170731707317,0.4146341463414634,3.2195121951219514,6.134146341463414,3.3417721518987342
Derrick Williams,2.817073170731707,1.2317073170731707,1.2173170731707315,3.786097560975609,23.524390243902438,15.353658536585366,0.2073170731707317,0.12195121951219512,0.7317073170731707,1.2560975609756098,1.2
Randy Foye,2.8518518518518516,1.1111111111111112,1.3642592592592595,3.780185185185186,29.12962962962963,19.0,0.4444444444444444,0.35185185185185186,0.6296296296296297,1.1296296296296295,1.096774193548387
Mike Miller,0.22105263157894736,0.09473684210526316,0.5399999999999999,2.531578947368422,11.094736842105263,9.305263157894737,0.11578947368421053,0.09473684210526316,0.2631578947368421,0.5368421052631579,0.9615384615384616
Draymond Green,4.4950495049504955,2.217821782178218,2.1381188118811876,3.9155445544554452,68.13861386138613,53.86138613861386,0.9702970297029703,0.42574257425742573,3.0396039603960396,6.554455445544554,3.07
Kyle Lowry,8.466666666666667,3.44,2.224800000000001,3.8792,78.74666666666667,56.026666666666664,0.9333333333333333,0.7066666666666667,1.16,2.2933333333333334,1.3181818181818181
Carlos Boozer,5.926829268292683,3.097560975609756,1.3087804878048783,3.2917073170731688,37.74390243902439,25.804878048780488,0.24390243902439024,0.14634146341463414,1.7317073170731707,3.2804878048780486,2.088235294117647
Thaddeus Young,8.178571428571429,4.083333333333333,2.1154761904761905,3.9561904761904754,61.154761904761905,44.86904761904762,0.5476190476190477,0.35714285714285715,2.4404761904761907,4.130952380952381,2.628205128205128
Kevin Love,5.654761904761905,2.5476190476190474,2.0435714285714277,3.678571428571427,61.0,43.70238095238095,0.6190476190476191,0.2857142857142857,3.392857142857143,6.523809523809524,3.6538461538461537
KJ McDaniels,2.606060606060606,1.0606060606060606,0.9626262626262628,2.6085858585858586,17.060606060606062,10.313131313131313,0.23232323232323232,0.1111111111111111,0.9090909090909091,1.97979797979798,1.5254237288135593
Nikola Vucevic,9.177215189873417,4.7974683544303796,2.031772151898735,3.576835443037975,51.35443037974684,31.88607594936709,0.4050632911392405,0.189873417721519,3.911392405063291,7.2784810126582276,4.175675675675675
Aaron Brooks,5.536842105263158,2.294736842105263,1.4616842105263161,4.135052631578947,49.44210526315789,35.65263157894737,1.0,0.37894736842105264,0.4631578947368421,0.8105263157894737,0.9777777777777777
Jodie Meeks,4.590163934426229,1.7868852459016393,1.768852459016394,4.394918032786885,26.934426229508198,14.819672131147541,0.39344262295081966,0.13114754098360656,0.5573770491803278,0.8852459016393442,0.9714285714285714
Jared Sullinger,6.241935483870968,3.0,1.7348387096774198,3.9203225806451614,53.58064516129032,38.16129032258065,0.4838709677419355,0.1935483870967742,2.870967741935484,5.419354838709677,2.918032786885246
Paul Millsap,7.279569892473118,3.5483870967741935,2.1767741935483875,3.928279569892473,61.60215053763441,42.98924731182796,0.8064516129032258,0.17204301075268819,4.623655913978495,8.634408602150538,4.777777777777778
Avery Bradley,6.08641975308642,2.691358024691358,2.2406172839506175,4.262345679012344,39.358024691358025,23.098765432098766,0.5308641975308642,0.16049382716049382,0.8765432098765432,1.5555555555555556,1.109375
Joe Johnson,6.781609195402299,3.0919540229885056,2.3441379310344845,3.9726436781609205,54.35632183908046,36.93103448275862,0.9770114942528736,0.3563218390804598,1.1264367816091954,1.9425287356321839,1.4848484848484849
Will Barton,2.6582278481012658,1.1139240506329113,0.9084810126582281,3.2070886075949363,19.27848101265823,12.886075949367088,0.3037974683544304,0.05063291139240506,0.46835443037974683,0.9240506329113924,1.121212121212121
Nik Stauskas,1.6219512195121952,0.45121951219512196,0.98,3.7930487804878075,15.634146341463415,10.658536585365853,0.12195121951219512,0.06097560975609756,0.43902439024390244,0.8780487804878049,0.8372093023255814
Jerami Grant,2.585714285714286,0.9571428571428572,1.4408571428571424,4.111571428571427,33.25714285714286,24.7,0.4142857142857143,0.08571428571428572,1.1,2.5428571428571427,1.305084745762712
James Jones,0.8058252427184466,0.2815533980582524,0.6640776699029128,3.0945631067961172,13.262135922330097,9.912621359223301,0.07766990291262135,0.06796116504854369,0.6990291262135923,1.145631067961165,1.411764705882353
DeMarcus Cousins,11.412698412698413,5.714285714285714,1.8949206349206353,3.335555555555556,66.01587301587301,39.523809523809526,0.5873015873015873,0.3492063492063492,3.8253968253968256,8.142857142857142,4.084745762711864
Trey Burke,6.822784810126582,2.5443037974683542,2.0308860759493665,4.05392405063291,74.9367088607595,57.48101265822785,0.7848101265822784,0.6708860759493671,0.5443037974683544,0.9873417721518988,1.0
Caron Butler,2.3125,0.95,1.38475,3.9804999999999993,30.4875,24.0875,0.1625,0.1125,1.0,1.625,1.3114754098360655
Marc Gasol,7.21505376344086,3.7419354838709675,2.0513978494623655,3.648709677419354,69.11827956989248,48.69892473118279,0.8387096774193549,0.3763440860215054,3.7311827956989245,7.440860215053763,3.7717391304347827
Tony Parker,6.63855421686747,3.2409638554216866,1.98855421686747,4.151927710843371,65.65060240963855,49.096385542168676,1.5060240963855422,0.39759036144578314,0.7951807228915663,1.144578313253012,1.2941176470588236
LeBron James,10.861702127659575,5.329787234042553,2.268404255319149,3.6330851063829774,82.56382978723404,52.3936170212766,1.0957446808510638,0.723404255319149,1.0851063829787233,2.202127659574468,1.3246753246753247
Brook Lopez,9.423076923076923,4.910256410256411,1.9008974358974364,3.8051282051282054,40.55128205128205,22.397435897435898,0.32051282051282054,0.11538461538461539,4.17948717948718,8.551282051282051,4.17948717948718
Damian Lillard,8.942528735632184,4.103448275862069,2.520689655172413,4.208620689655172,87.05747126436782,61.89655172413793,1.3103448275862069,0.3448275862068966,0.9080459770114943,1.4482758620689655,1.2741935483870968
Zach Randolph,9.071428571428571,4.5,2.0659523809523805,3.7847619047619028,53.20238095238095,34.726190476190474,0.5238095238095238,0.2857142857142857,2.9285714285714284,5.464285714285714,3.037037037037037
Enes Kanter,7.814814814814815,4.3580246913580245,1.80283950617284,3.8203703703703704,53.123456790123456,37.71604938271605,0.35802469135802467,0.04938271604938271,2.9382716049382718,5.148148148148148,3.1733333333333333
Ty Lawson,5.716049382716049,2.54320987654321,2.174197530864198,3.6714814814814822,75.90123456790124,56.370370370370374,1.1975308641975309,0.8888888888888888,0.654320987654321,1.1604938271604939,1.0392156862745099
Wesley Matthews,4.616666666666666,2.1666666666666665,2.3743333333333334,4.2255,48.15,31.6,0.45,0.08333333333333333,0.7833333333333333,1.4,1.146341463414634
Mario Chalmers,4.585365853658536,1.829268292682927,1.9342682926829267,3.9291463414634147,61.390243902439025,47.146341463414636,0.6585365853658537,0.43902439024390244,0.8536585365853658,1.4878048780487805,1.1666666666666667
