player_year,MP_x,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Tony Allen/2015-16,25.3,4.4,0.3,0.9,0.294,0.505,2.3,6.6,6.9,3.5,1.0,0.09,1.9,1.4,1.02827586207,0.801724137931,5
Brandon Knight/2016-17,21.1,5.2,1.4,4.4,0.293,0.502,0.8,3.7,17.8,1.1,0.4,0.265,0.2,-3.0,1.034125,0.6125,7
Kyle O'Quinn/2016-17,15.6,6.2,0.1,0.5,0.201,0.552,4.6,12.9,14.8,1.5,6.9,0.041,1.8,3.7,1.03575,5.1375,13
Joe Ingles/2015-16,15.3,1.2,2.3,6.1,0.062,0.572,0.6,4.4,12.1,2.3,0.3,0.722,1.6,0.4,1.03597560976,0.756097560976,12
Richard Jefferson/2014-15,16.8,2.3,1.9,4.5,0.352,0.577,0.7,5.3,7.0,1.3,0.7,0.478,0.9,-0.5,1.03931034483,1.65517241379,12
Spencer Hawes/2014-15,17.5,3.1,1.6,5.0,0.164,0.478,0.8,7.3,10.0,1.0,3.4,0.424,1.5,1.0,1.03931034483,3.35632183908,0
Tyson Chandler/2015-16,24.5,4.1,0.0,0.0,0.545,0.606,3.9,12.8,6.0,1.1,2.2,0.003,1.6,1.3,1.0422,3.44,2
Ian Clark/2016-17,14.8,4.7,1.9,5.2,0.134,0.575,0.7,3.9,11.2,1.7,0.6,0.376,1.3,-1.4,1.04479166667,0.520833333333,12
Timofey Mozgov/2016-17,20.4,5.5,0.0,0.0,0.238,0.553,3.4,8.6,5.9,0.7,2.3,0.003,0.4,-0.8,1.05108108108,3.25675675676,8
Kyle Anderson/2015-16,16.0,3.6,0.3,1.1,0.281,0.528,0.7,7.1,13.7,2.5,1.8,0.125,2.8,3.7,1.05333333333,1.06451612903,0
Tayshaun Prince/2015-16,19.0,2.4,0.1,0.6,0.083,0.466,0.8,3.6,7.0,1.2,0.7,0.1,0.3,-0.2,1.05384615385,1.20879120879,15
Dewayne Dedmon/2016-17,17.5,4.4,0.0,0.0,0.359,0.645,3.5,13.4,4.8,1.4,3.7,0.0,3.0,3.2,1.05866666667,3.51111111111,8
Mike Scott/2015-16,15.3,3.6,1.9,5.0,0.168,0.575,1.7,6.5,10.5,1.1,1.2,0.42,1.5,-0.4,1.06,1.65555555556,0
Quincy Acy/2015-16,14.8,4.1,0.8,2.0,0.318,0.629,2.7,7.7,4.4,1.6,2.2,0.229,0.7,0.0,1.06,2.2,0
Terrence Jones/2015-16,20.9,4.9,0.9,2.7,0.316,0.519,2.1,7.3,6.3,1.1,3.1,0.215,0.7,-1.0,1.06144927536,3.13043478261,0
Jonas Jerebko/2014-15,16.4,3.4,1.6,4.1,0.174,0.549,2.7,8.3,9.0,1.9,1.1,0.369,1.4,0.4,1.06215909091,2.35227272727,0
JaKarr Sampson/2014-15,15.3,3.7,1.0,4.0,0.272,0.498,1.1,5.2,12.0,1.7,1.9,0.367,1.1,-0.4,1.063625,1.8625,0
Corey Brewer/2016-17,15.6,3.4,0.8,3.3,0.195,0.491,0.9,4.7,10.7,2.3,1.2,0.339,1.2,0.2,1.06456790123,1.12345679012,0
Justin Hamilton/2016-17,18.4,3.6,1.7,5.5,0.137,0.55,2.2,8.0,7.3,1.2,2.8,0.478,1.0,0.2,1.06474358974,4.11538461538,0
