Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
101,Tony Parker\parketo01,2013-14,31,SAS,NBA,68,29.4,.555,68,1997,8.2,16.5,7.8,15.3,0.5,1.2,3.6,4.4,0.3,2.5,2.8,7.0,0.6,0.2,2.7,1.6,20.4,.499,.509,.373,.513,.811
102,C.J. Watson\watsocj01,2013-14,29,IND,NBA,63,18.9,.555,5,1193,4.4,10.1,2.8,5.7,1.6,4.4,2.1,2.7,0.6,2.5,3.0,3.2,1.8,0.2,1.8,2.0,12.5,.437,.492,.366,.516,.784
103,Klay Thompson\thompkl01,2013-14,23,GSW,NBA,81,35.4,.555,81,2868,7.0,15.8,4.2,9.1,2.8,6.7,1.8,2.3,0.5,2.6,3.1,2.3,0.9,0.5,1.7,2.9,18.7,.444,.464,.417,.533,.795
104,Channing Frye\fryech01,2013-14,30,PHO,NBA,82,28.2,.555,82,2312,5.2,12.1,2.7,5.4,2.5,6.7,1.2,1.5,1.1,5.3,6.5,1.5,0.9,1.0,1.4,3.8,14.2,.432,.509,.370,.535,.821
105,Paul George\georgpa01,2013-14,23,IND,NBA,80,36.2,.555,80,2898,7.2,16.9,4.9,10.7,2.3,6.2,5.0,5.8,0.8,5.9,6.7,3.5,1.9,0.3,2.8,2.5,21.6,.424,.458,.364,.490,.864
106,Tim Hardaway\hardati02,2013-14,21,NYK,NBA,81,23.1,.554,1,1875,5.6,13.2,3.1,6.3,2.5,6.9,2.0,2.5,0.4,2.0,2.3,1.3,0.8,0.1,0.9,2.8,15.8,.428,.498,.363,.523,.828
107,Spencer Hawes\hawessp01,2013-14,25,TOT,NBA,80,30.9,.554,78,2470,5.9,12.9,4.0,8.4,1.9,4.5,1.7,2.2,1.9,7.7,9.6,3.5,0.6,1.4,2.5,3.5,15.3,.456,.478,.416,.529,.783
108,Ty Lawson\lawsoty01,2013-14,26,DEN,NBA,62,35.8,.554,61,2222,5.6,13.1,4.5,9.8,1.2,3.3,5.2,6.6,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.7,.431,.455,.356,.475,.798
109,Kevin Martin\martike02,2013-14,30,MIN,NBA,68,32.0,.553,68,2177,7.3,16.9,5.4,12.0,1.9,4.9,5.0,5.6,0.6,2.8,3.4,2.0,1.1,0.1,1.8,2.0,21.5,.430,.448,.387,.486,.891
110,Terrence Ross\rosste01,2013-14,22,TOR,NBA,81,26.7,.553,62,2159,5.3,12.5,2.6,5.7,2.7,6.8,1.4,1.6,0.7,3.5,4.2,1.3,1.1,0.5,1.5,3.1,14.7,.423,.458,.395,.531,.837
