Rk,Player,Season,Age,Tm,Lg,G,MP,Ht,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
14,Luke Babbitt\babbilu01,2014-15,25,NOP,NBA,63,13.2,6-9,19,830,4.0,8.3,1.4,3.3,2.6,5.0,0.6,0.8,0.5,4.3,4.8,1.0,0.7,0.5,1.1,2.7,11.1,.479,.429,.513,.633,.684,.639
15,Aron Baynes\baynear01,2014-15,28,SAS,NBA,70,16.0,6-10,17,1122,5.9,10.5,5.9,10.4,0.0,0.1,2.9,3.3,3.5,6.7,10.2,1.1,0.5,0.7,2.1,5.2,14.8,.566,.570,.250,.567,.865,.618
16,Bismack Biyombo\biyombi01,2014-15,22,CHO,NBA,64,19.4,6-9,21,1243,2.9,5.4,2.9,5.4,0.0,0.0,3.0,5.1,4.6,7.2,11.8,0.5,0.5,2.9,1.5,4.1,8.8,.543,.543,,.543,.583,.578
17,Tarik Black\blackta01,2014-15,23,TOT,NBA,63,19.0,6-9,39,1196,4.7,8.2,4.7,8.2,0.0,0.0,2.0,3.6,4.3,6.8,11.1,1.3,0.6,0.7,1.4,4.8,11.4,.575,.577,.000,.575,.551,.583
18,Andrew Bogut\bogutan01,2014-15,30,GSW,NBA,67,23.6,7-0,65,1583,4.5,8.1,4.5,8.1,0.0,0.0,0.5,1.0,3.2,9.1,12.3,4.1,0.9,2.6,2.4,4.3,9.6,.563,.563,,.563,.524,.565
19,Matt Bonner\bonnema01,2014-15,34,SAS,NBA,72,13.0,6-10,19,935,3.6,8.9,1.8,4.0,1.8,4.9,1.2,1.4,1.1,3.3,4.4,1.8,0.4,0.5,0.4,2.5,10.2,.409,.462,.365,.509,.811,.536
20,Carlos Boozer\boozeca01,2014-15,33,LAL,NBA,71,23.8,6-9,26,1692,7.9,15.8,7.9,15.8,0.0,0.0,2.0,3.2,2.4,7.9,10.3,2.0,0.9,0.3,2.0,3.9,17.8,.499,.499,,.499,.627,.517
21,Corey Brewer\breweco01,2014-15,28,TOT,NBA,80,26.1,6-9,17,2087,5.9,13.9,4.8,9.8,1.1,4.1,2.9,3.9,1.4,3.7,5.1,3.0,2.0,0.3,2.3,3.0,15.8,.426,.491,.268,.465,.743,.507
22,Omri Casspi\casspom01,2014-15,26,SAC,NBA,67,21.1,6-9,19,1416,5.3,10.9,4.4,8.6,0.9,2.2,3.6,4.9,1.4,5.2,6.6,2.6,0.8,0.2,2.2,2.7,15.1,.489,.512,.402,.530,.733,.580
23,Tyson Chandler\chandty01,2014-15,32,DAL,NBA,75,30.5,7-1,75,2286,4.6,6.9,4.6,6.9,0.0,0.0,2.9,4.0,4.6,9.0,13.6,1.3,0.7,1.4,1.7,2.7,12.1,.666,.666,,.666,.720,.697
24,Nick Collison\collini01,2014-15,34,OKC,NBA,66,16.7,6-10,2,1101,3.5,8.3,2.9,6.3,0.5,2.0,1.5,2.1,2.9,5.2,8.2,2.9,1.1,0.8,1.5,5.1,8.9,.419,.466,.267,.451,.692,.485
25,Chris Copeland\copelch01,2014-15,30,IND,NBA,50,16.6,6-9,12,828,4.9,13.5,2.6,6.2,2.3,7.3,1.4,2.0,1.0,3.8,4.8,2.2,0.5,0.5,2.6,3.4,13.4,.361,.420,.311,.445,.733,.468
26,DeMarcus Cousins\couside01,2014-15,24,SAC,NBA,59,34.1,6-11,59,2013,8.9,19.1,8.9,18.9,0.0,0.1,7.6,9.7,3.3,10.1,13.4,3.8,1.6,1.8,4.5,4.3,25.4,.467,.469,.250,.468,.782,.545
27,Robert Covington\covinro01,2014-15,24,PHI,NBA,70,27.9,6-9,49,1956,5.5,13.9,2.4,5.7,3.1,8.2,3.3,4.0,1.2,4.6,5.8,1.9,1.8,0.6,2.4,3.5,17.4,.396,.426,.374,.506,.820,.554
28,Anthony Davis\davisan02,2014-15,21,NOP,NBA,68,36.1,6-10,68,2455,9.4,17.6,9.4,17.4,0.0,0.2,5.4,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.3,.535,.540,.083,.536,.805,.591
29,Ed Davis\davised01,2014-15,25,LAL,NBA,79,23.3,6-10,24,1840,5.5,9.2,5.5,9.2,0.0,0.0,1.8,3.7,4.5,7.2,11.7,1.8,1.0,1.9,1.1,4.0,12.8,.601,.601,,.601,.487,.594
30,Glen Davis\davisgl01,2014-15,29,LAC,NBA,74,12.2,6-9,0,904,4.7,10.2,4.7,10.0,0.0,0.2,2.4,3.8,1.7,5.0,6.7,1.6,1.6,0.8,1.6,5.3,11.7,.459,.466,.000,.459,.632,.495
31,Dewayne Dedmon\dedmode01,2014-15,25,ORL,NBA,59,14.3,7-0,15,845,3.9,6.9,3.9,6.9,0.0,0.0,1.4,2.7,5.0,7.5,12.6,0.4,0.7,2.1,2.2,6.0,9.2,.562,.565,.000,.562,.531,.568
32,Luol Deng\denglu01,2014-15,29,MIA,NBA,72,33.6,6-9,72,2421,5.5,11.7,4.3,8.4,1.2,3.3,2.8,3.7,1.5,4.1,5.6,2.1,1.0,0.3,1.6,1.6,15.0,.469,.513,.355,.518,.761,.561
33,Gorgui Dieng\dienggo01,2014-15,25,MIN,NBA,73,30.0,6-11,49,2193,4.3,8.4,4.2,8.3,0.0,0.1,3.1,4.0,3.7,6.3,10.0,2.4,1.2,2.1,2.1,3.1,11.7,.506,.510,.167,.507,.783,.573
34,Andre Drummond\drumman01,2014-15,21,DET,NBA,82,30.5,6-11,82,2502,7.1,13.8,7.1,13.8,0.0,0.0,2.0,5.3,6.3,9.6,15.9,0.8,1.1,2.2,1.7,4.1,16.3,.514,.515,.000,.514,.389,.504
35,Tim Duncan\duncati01,2014-15,38,SAS,NBA,77,28.9,6-11,77,2227,6.8,13.2,6.7,13.1,0.0,0.1,3.7,5.0,2.7,8.6,11.4,3.7,1.0,2.4,2.1,2.7,17.3,.512,.514,.286,.513,.740,.560
36,Mike Dunleavy\dunlemi02,2014-15,34,CHI,NBA,63,29.2,6-9,63,1838,4.1,9.4,2.0,4.3,2.1,5.2,1.4,1.7,0.5,4.3,4.9,2.2,0.8,0.4,1.2,2.4,11.7,.435,.468,.407,.546,.805,.573
37,Derrick Favors\favorde01,2014-15,23,UTA,NBA,74,30.8,6-10,74,2280,7.6,14.5,7.6,14.4,0.0,0.1,3.5,5.2,3.1,6.5,9.6,1.8,0.9,1.9,1.9,3.3,18.7,.525,.527,.167,.526,.669,.558
38,Channing Frye\fryech01,2014-15,31,ORL,NBA,75,24.9,6-11,51,1870,3.7,9.4,1.1,2.7,2.6,6.7,0.6,0.7,0.5,5.1,5.6,1.8,0.9,0.8,1.5,3.7,10.6,.392,.390,.393,.532,.886,.546
39,Danilo Gallinari\gallida01,2014-15,26,DEN,NBA,59,24.2,6-10,27,1426,5.8,14.3,3.1,6.7,2.7,7.6,4.3,4.8,0.8,4.7,5.5,2.1,1.2,0.5,1.4,2.4,18.5,.401,.453,.355,.496,.895,.563
40,Marc Gasol\gasolma01,2014-15,30,MEM,NBA,81,33.2,7-1,81,2687,7.1,14.4,7.1,14.1,0.0,0.2,4.7,5.9,1.5,6.9,8.4,4.1,0.9,1.8,2.4,2.8,18.9,.494,.500,.176,.496,.795,.558
41,Pau Gasol\gasolpa01,2014-15,34,CHI,NBA,78,34.4,7-0,78,2681,7.7,15.5,7.5,15.1,0.2,0.3,3.9,4.9,3.0,9.4,12.3,2.8,0.3,2.0,2.1,2.0,19.4,.494,.495,.462,.500,.803,.550
42,Rudy Gobert\goberru01,2014-15,22,UTA,NBA,82,26.3,7-1,37,2158,4.3,7.1,4.3,7.1,0.0,0.0,2.8,4.6,4.4,8.5,12.9,1.8,1.1,3.2,1.9,2.9,11.4,.604,.607,.000,.604,.623,.627
43,Drew Gooden\goodedr01,2014-15,33,WAS,NBA,51,16.9,6-10,7,864,4.6,11.5,3.6,9.0,1.0,2.5,1.4,1.8,3.0,6.3,9.3,2.0,0.9,0.4,1.2,3.8,11.5,.399,.401,.390,.440,.773,.469
44,Marcin Gortat\gortama01,2014-15,30,WAS,NBA,82,29.9,6-11,82,2453,6.4,11.4,6.4,11.3,0.0,0.0,1.8,2.6,2.6,7.9,10.5,1.4,0.7,1.6,1.5,2.8,14.7,.566,.569,.000,.566,.703,.587
45,Blake Griffin\griffbl01,2014-15,25,LAC,NBA,67,35.2,6-10,67,2356,8.8,17.5,8.6,17.1,0.2,0.4,4.8,6.5,1.9,5.8,7.8,5.4,1.0,0.5,2.3,3.0,22.4,.502,.504,.400,.506,.728,.551
46,Spencer Hawes\hawessp01,2014-15,26,LAC,NBA,73,17.5,7-1,15,1274,4.6,11.7,3.1,6.8,1.6,5.0,1.2,1.9,0.8,6.4,7.3,2.5,0.7,1.5,1.7,4.9,12.0,.393,.452,.313,.459,.647,.478
47,John Henson\hensojo01,2014-15,24,MIL,NBA,67,18.3,6-11,11,1228,5.7,10.1,5.7,10.1,0.0,0.0,2.3,4.0,3.6,5.5,9.1,1.7,0.8,4.0,2.6,4.5,13.8,.566,.566,,.566,.569,.578
48,Roy Hibbert\hibbero01,2014-15,28,IND,NBA,76,25.3,7-2,76,1926,5.9,13.3,5.9,13.2,0.0,0.0,3.1,3.8,2.9,7.2,10.1,1.6,0.3,2.3,2.0,4.0,15.0,.446,.448,.000,.446,.824,.501
49,Nene Hilario\hilarne01,2014-15,32,WAS,NBA,67,25.3,6-11,58,1693,6.5,12.8,6.5,12.7,0.0,0.1,2.6,4.3,1.8,5.5,7.3,2.6,1.4,0.5,2.6,3.8,15.7,.511,.513,.200,.512,.604,.534
50,Jordan Hill\hilljo01,2014-15,27,LAL,NBA,70,26.8,6-10,57,1874,6.9,14.9,6.8,14.7,0.1,0.2,2.4,3.2,3.3,7.3,10.7,2.0,0.7,1.0,2.0,3.2,16.2,.459,.462,.273,.461,.738,.494
51,Al Horford\horfoal01,2014-15,28,ATL,NBA,76,30.5,6-10,76,2318,8.1,15.0,7.9,14.4,0.2,0.6,1.7,2.2,2.0,6.4,8.4,3.8,1.1,1.5,1.6,1.9,18.0,.538,.547,.306,.544,.759,.563
52,Serge Ibaka\ibakase01,2014-15,25,OKC,NBA,64,33.1,6-10,64,2116,6.4,13.4,5.1,9.9,1.3,3.5,1.6,1.9,2.3,6.2,8.5,0.9,0.5,2.6,1.7,3.3,15.6,.476,.511,.376,.525,.836,.549
53,Ersan Ilyasova\ilyaser01,2014-15,27,MIL,NBA,58,22.7,6-10,36,1319,7.2,15.2,5.2,10.0,2.0,5.2,1.9,2.9,2.2,5.4,7.6,1.5,1.0,0.5,1.2,4.1,18.3,.472,.515,.389,.539,.645,.554
54,Al Jefferson\jeffeal01,2014-15,30,CHO,NBA,65,30.6,6-10,61,1992,8.8,18.3,8.7,18.2,0.0,0.1,2.0,3.0,1.8,8.1,9.9,2.0,0.8,1.5,1.2,2.5,19.6,.481,.482,.400,.482,.655,.500
55,Jonas Jerebko\jerebjo01,2014-15,27,TOT,NBA,75,16.4,6-10,0,1230,4.9,11.1,3.4,7.0,1.6,4.1,1.6,1.9,2.7,5.5,8.3,2.1,1.3,0.5,1.3,4.0,13.1,.446,.481,.386,.517,.848,.549
56,DeAndre Jordan\jordade01,2014-15,26,LAC,NBA,82,34.4,6-11,82,2820,4.8,6.8,4.8,6.8,0.0,0.1,2.4,6.0,5.1,10.6,15.7,0.8,1.0,2.3,1.4,3.1,12.1,.710,.713,.250,.711,.397,.638
57,Chris Kaman\kamanch01,2014-15,32,POR,NBA,74,18.9,7-0,13,1398,7.3,14.1,7.3,14.1,0.0,0.0,1.9,2.6,3.8,8.6,12.5,1.7,0.5,1.4,2.8,3.6,16.4,.515,.515,,.515,.706,.537
58,Enes Kanter\kanteen01,2014-15,22,TOT,NBA,75,28.5,6-11,74,2135,8.1,15.6,7.9,14.9,0.3,0.8,3.1,3.9,4.7,6.6,11.3,0.9,0.6,0.5,2.4,3.2,19.6,.519,.528,.356,.528,.782,.564
59,Ryan Kelly\kellyry01,2014-15,23,LAL,NBA,52,23.7,6-11,34,1233,3.0,9.0,1.7,5.1,1.3,3.9,2.3,2.8,0.4,3.9,4.3,2.7,0.9,0.7,1.1,3.4,9.7,.337,.337,.336,.409,.832,.473
60,Kosta Koufos\koufoko01,2014-15,25,MEM,NBA,81,16.6,7-0,3,1348,4.9,9.6,4.9,9.6,0.0,0.0,1.5,2.3,3.2,8.1,11.4,1.0,0.8,1.7,1.8,4.0,11.2,.508,.508,,.508,.647,.530
61,Alex Len\lenal01,2014-15,21,PHO,NBA,69,22.0,7-1,44,1518,4.2,8.4,4.2,8.3,0.0,0.1,1.7,2.5,3.4,7.4,10.8,0.8,0.8,2.5,1.8,5.1,10.2,.507,.509,.333,.508,.702,.542
62,Meyers Leonard\leoname01,2014-15,22,POR,NBA,55,15.4,7-1,7,847,5.3,10.4,3.3,5.7,2.0,4.8,1.3,1.4,2.0,8.7,10.6,1.4,0.4,0.6,1.7,4.8,13.9,.510,.586,.420,.606,.938,.631
63,Jon Leuer\leuerjo01,2014-15,25,MEM,NBA,63,13.1,6-10,6,824,5.3,11.9,5.0,10.7,0.3,1.3,1.6,2.6,2.2,6.9,9.0,2.0,0.7,0.4,1.5,3.8,12.5,.443,.467,.241,.456,.627,.478
64,Brook Lopez\lopezbr01,2014-15,26,BRK,NBA,72,29.2,7-0,44,2100,8.7,16.9,8.7,16.7,0.0,0.2,3.8,4.7,3.7,5.5,9.2,0.9,0.7,2.2,1.8,3.5,21.2,.513,.517,.100,.513,.814,.558
65,Robin Lopez\lopezro01,2014-15,26,POR,NBA,59,27.8,7-0,59,1638,5.1,9.6,5.1,9.6,0.0,0.0,2.2,2.8,4.2,4.5,8.7,1.2,0.4,1.8,1.6,2.7,12.4,.535,.537,.000,.535,.772,.574
66,Kevin Love\loveke01,2014-15,26,CLE,NBA,75,33.8,6-10,75,2532,5.9,13.5,3.8,8.0,2.0,5.6,3.7,4.6,2.0,8.4,10.4,2.4,0.7,0.6,1.7,2.0,17.5,.434,.480,.367,.509,.804,.562
67,Ian Mahinmi\mahinia01,2014-15,28,IND,NBA,61,18.8,6-11,6,1146,3.7,6.7,3.7,6.7,0.0,0.0,1.0,3.2,3.3,7.9,11.2,1.0,0.9,1.4,1.9,5.4,8.3,.552,.552,,.552,.304,.516
68,Nikola Mirotic\mirotni01,2014-15,23,CHI,NBA,82,20.2,6-10,3,1654,5.5,13.6,3.4,6.8,2.2,6.8,5.0,6.2,1.4,7.4,8.8,2.1,1.2,1.2,1.9,3.7,18.1,.405,.495,.316,.485,.803,.556
69,Greg Monroe\monrogr01,2014-15,24,DET,NBA,69,31.0,6-11,57,2137,7.1,14.4,7.1,14.4,0.0,0.0,4.2,5.7,3.9,8.0,11.9,2.4,1.3,0.6,2.5,2.5,18.5,.496,.496,,.496,.750,.549
70,Markieff Morris\morrima02,2014-15,25,PHO,NBA,82,31.5,6-10,82,2581,7.1,15.3,6.3,12.8,0.8,2.5,2.5,3.2,1.5,5.5,7.1,2.7,1.4,0.5,2.4,3.4,17.5,.465,.494,.318,.491,.763,.523
71,Donatas Motiejunas\motiedo01,2014-15,24,HOU,NBA,71,28.7,7-0,62,2037,6.2,12.4,5.4,10.0,0.9,2.4,1.8,2.9,2.4,5.0,7.4,2.3,1.0,0.6,2.2,3.6,15.1,.504,.536,.368,.539,.602,.553
72,Timofey Mozgov\mozgoti01,2014-15,28,TOT,NBA,81,25.2,7-1,80,2045,5.5,10.0,5.5,9.9,0.0,0.1,2.7,3.8,3.6,6.8,10.4,1.0,0.6,1.7,2.0,4.0,13.8,.555,.557,.333,.557,.718,.594
73,Joakim Noah\noahjo01,2014-15,29,CHI,NBA,67,30.6,6-11,67,2049,3.3,7.5,3.3,7.5,0.0,0.0,1.8,3.1,3.8,7.5,11.3,5.5,0.8,1.3,2.2,3.6,8.5,.445,.447,.000,.445,.603,.482
74,Nerlens Noel\noelne01,2014-15,20,PHI,NBA,75,30.8,6-11,71,2311,4.7,10.2,4.7,10.2,0.0,0.0,2.2,3.6,2.9,6.6,9.5,2.0,2.1,2.2,2.3,3.2,11.6,.462,.462,,.462,.609,.493
75,Dirk Nowitzki\nowitdi01,2014-15,36,DAL,NBA,77,29.6,7-0,77,2282,7.7,16.8,6.0,12.4,1.6,4.3,4.0,4.6,0.7,6.5,7.2,2.3,0.6,0.5,1.3,2.5,21.0,.459,.486,.380,.508,.882,.560
76,Jusuf Nurkic\nurkiju01,2014-15,20,DEN,NBA,62,17.8,7-0,27,1103,5.6,12.5,5.6,12.4,0.0,0.1,2.7,4.3,4.1,8.4,12.5,1.6,1.7,2.2,2.8,6.8,13.9,.446,.449,.000,.446,.636,.483
77,Kyle O'Quinn\oquinky01,2014-15,24,ORL,NBA,51,16.2,6-10,17,824,5.2,10.6,4.7,8.7,0.5,1.9,1.9,2.5,2.0,6.7,8.7,2.6,1.4,1.7,2.4,4.8,12.8,.492,.538,.279,.517,.772,.550
78,Kelly Olynyk\olynyke01,2014-15,23,BOS,NBA,64,22.2,7-0,13,1423,6.3,13.4,4.8,8.9,1.5,4.4,2.4,3.4,2.3,5.3,7.7,2.8,1.6,1.0,2.5,5.4,16.6,.475,.538,.349,.533,.684,.558
79,Zaza Pachulia\pachuza01,2014-15,30,MIL,NBA,73,23.7,6-11,45,1730,5.0,11.0,5.0,10.9,0.0,0.1,2.6,3.3,4.1,6.3,10.4,3.7,1.7,0.4,2.8,3.5,12.6,.454,.456,.000,.454,.788,.506
80,Chandler Parsons\parsoch01,2014-15,26,DAL,NBA,66,33.1,6-10,66,2186,6.3,13.7,4.1,7.9,2.2,5.7,2.3,3.2,1.1,4.3,5.3,2.7,1.1,0.3,1.6,2.3,17.1,.462,.521,.380,.542,.720,.567
81,Kendrick Perkins\perkike01,2014-15,30,TOT,NBA,68,16.9,6-10,3,1148,3.2,7.1,3.2,7.1,0.0,0.0,1.3,2.6,2.9,7.2,10.0,1.6,0.5,1.3,3.0,5.1,7.7,.449,.451,.000,.449,.506,.467
82,Mason Plumlee\plumlma01,2014-15,24,BRK,NBA,82,21.3,6-11,45,1743,5.8,10.1,5.8,10.0,0.0,0.1,3.2,6.5,3.6,7.0,10.6,1.5,1.3,1.3,2.2,4.3,14.8,.573,.576,.000,.573,.495,.570
83,Miles Plumlee\plumlmi01,2014-15,26,TOT,NBA,73,16.4,6-11,28,1194,4.1,7.7,4.1,7.7,0.0,0.0,0.7,1.4,3.4,6.3,9.6,1.0,1.2,2.0,1.5,3.3,8.9,.535,.535,,.535,.478,.536
84,Thomas Robinson\robinth01,2014-15,23,TOT,NBA,54,14.8,6-10,4,798,5.7,11.7,5.7,11.6,0.0,0.1,2.5,4.8,4.3,9.4,13.7,1.5,1.4,0.9,2.7,4.7,13.9,.485,.488,.000,.485,.528,.502
85,Damjan Rudez\rudezda01,2014-15,28,IND,NBA,68,15.4,6-10,2,1047,4.1,9.0,1.7,3.2,2.4,5.8,0.6,0.8,0.3,1.3,1.6,1.8,0.6,0.2,1.6,2.7,11.1,.452,.538,.406,.584,.696,.591
86,Robert Sacre\sacrero01,2014-15,25,LAL,NBA,67,16.9,7-0,18,1133,4.0,9.7,4.0,9.7,0.0,0.0,1.7,2.6,2.8,4.6,7.4,1.7,0.9,1.4,1.1,3.8,9.8,.412,.413,.000,.412,.671,.449
87,Henry Sims\simshe01,2014-15,24,PHI,NBA,73,19.2,6-10,32,1399,6.1,12.9,6.0,12.4,0.1,0.6,2.7,3.5,3.1,6.1,9.2,2.0,1.0,0.8,2.5,3.5,15.1,.474,.488,.182,.478,.774,.521
88,Jason Smith\smithja02,2014-15,28,NYK,NBA,82,21.8,7-0,31,1785,5.2,11.9,4.9,11.1,0.3,0.8,2.6,3.1,2.0,4.6,6.5,2.8,0.6,0.9,2.1,4.1,13.2,.434,.440,.357,.447,.830,.497
89,Marreese Speights\speigma01,2014-15,27,GSW,NBA,76,15.9,6-10,9,1207,9.5,19.3,9.3,18.7,0.1,0.5,4.5,5.3,3.3,6.4,9.7,2.1,0.6,1.0,2.4,5.6,23.6,.492,.498,.278,.496,.843,.546
90,Tiago Splitter\splitti01,2014-15,30,SAS,NBA,52,19.8,6-11,35,1030,5.9,10.6,5.9,10.6,0.0,0.0,3.1,4.2,3.2,5.6,8.8,2.7,1.2,1.3,2.1,3.6,15.0,.558,.558,,.558,.750,.601
91,Amar'e Stoudemire\stoudam01,2014-15,32,TOT,NBA,59,21.1,6-10,15,1245,7.9,14.2,7.9,14.1,0.0,0.1,3.9,5.4,3.2,6.3,9.5,1.3,0.8,1.1,2.3,4.7,19.7,.557,.562,.000,.557,.720,.595
92,Jason Thompson\thompja02,2014-15,28,SAC,NBA,81,24.6,6-11,63,1991,3.6,7.7,3.6,7.7,0.0,0.0,1.6,2.6,2.5,7.1,9.6,1.5,0.6,1.0,1.5,4.3,8.9,.470,.471,.000,.470,.622,.500
93,Hedo Turkoglu\turkohe01,2014-15,35,LAC,NBA,62,11.4,6-10,2,705,4.2,9.6,1.2,2.5,3.1,7.1,0.3,0.6,0.3,4.8,5.1,1.9,1.0,0.4,1.5,3.4,11.8,.441,.469,.432,.601,.545,.602
94,Jonas Valanciunas\valanjo01,2014-15,22,TOR,NBA,80,26.2,7-0,80,2096,6.4,11.2,6.4,11.2,0.0,0.0,3.7,4.7,3.7,8.2,11.9,0.7,0.6,1.6,1.9,3.8,16.5,.572,.573,.000,.572,.786,.623
95,Charlie Villanueva\villach01,2014-15,30,DAL,NBA,64,10.6,6-11,1,678,8.0,19.2,3.6,7.5,4.4,11.7,1.1,1.9,1.6,6.3,7.9,1.0,0.8,1.2,1.5,3.4,21.4,.414,.475,.376,.529,.571,.534
96,Nikola Vucevic\vucevni01,2014-15,24,ORL,NBA,74,34.2,7-0,74,2529,9.0,17.2,9.0,17.1,0.0,0.1,2.3,3.1,3.4,8.1,11.5,2.1,0.8,0.8,2.1,3.1,20.3,.523,.524,.333,.524,.752,.548
97,Travis Wear\weartr01,2014-15,24,NYK,NBA,51,13.2,6-10,1,672,4.5,11.2,3.9,9.6,0.6,1.6,1.1,1.4,1.7,4.0,5.7,2.1,0.8,0.6,1.9,2.9,10.7,.402,.408,.367,.428,.769,.451
98,Brandan Wright\wrighbr03,2014-15,27,TOT,NBA,75,19.3,6-10,7,1449,5.8,9.0,5.8,8.9,0.0,0.1,1.9,2.8,3.2,4.8,8.0,1.0,1.2,2.3,0.8,2.5,13.5,.642,.647,.000,.642,.696,.660
99,Cody Zeller\zelleco01,2014-15,22,CHO,NBA,62,24.0,7-0,45,1487,4.2,9.0,4.1,9.0,0.0,0.0,3.1,4.0,2.3,6.4,8.8,2.4,0.8,1.2,1.5,3.8,11.4,.461,.460,1.000,.462,.774,.530
100,Tyler Zeller\zellety01,2014-15,25,BOS,NBA,82,21.1,7-0,59,1731,7.1,12.9,7.1,12.9,0.0,0.0,3.2,3.9,3.0,6.6,9.7,2.4,0.4,1.1,1.6,4.3,17.3,.549,.549,,.549,.823,.594
101,Taj Gibson\gibsota01,2014-15,29,CHI,NBA,62,27.3,6-9,17,1692,5.4,10.8,5.4,10.8,0.0,0.0,2.8,3.9,3.4,5.0,8.4,1.5,0.8,1.6,1.6,3.4,13.6,.502,.502,,.502,.717,.545
102,Jeff Green\greenje02,2014-15,28,TOT,NBA,78,31.5,6-9,70,2454,6.1,14.2,4.7,9.9,1.4,4.3,3.5,4.2,0.9,3.9,4.8,2.0,0.8,0.5,1.6,2.2,17.1,.430,.473,.332,.480,.833,.534
103,Tyler Hansbrough\hansbty01,2014-15,29,TOR,NBA,74,14.3,6-9,8,1058,2.9,5.6,2.9,5.4,0.0,0.2,3.3,4.7,3.6,5.4,9.0,0.7,1.0,0.5,0.7,4.8,9.2,.521,.538,.143,.524,.698,.597
104,Tobias Harris\harrito02,2014-15,22,ORL,NBA,68,34.8,6-9,63,2369,6.7,14.4,5.4,10.8,1.3,3.6,2.9,3.7,1.1,5.4,6.5,1.9,1.0,0.5,1.7,2.0,17.7,.466,.500,.364,.512,.788,.551
