Rk,Player,Season,Age,Tm,Lg,G,MP,Ht,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Steven Adams\adamsst01,2014-15,21,OKC,NBA,70,25.3,7-0,67,1771,4.4,8.1,4.4,8.1,0.0,0.0,2.1,4.2,4.0,6.6,10.6,1.3,0.8,1.7,2.0,4.5,10.9,.544,.547,.000,.544,.502,.549
2,Alexis Ajinca\ajincal01,2014-15,26,NOP,NBA,68,14.1,7-2,8,957,6.8,12.4,6.8,12.4,0.0,0.0,3.0,3.7,3.9,7.9,11.8,1.8,0.8,1.9,2.6,5.7,16.7,.550,.550,,.550,.818,.595
3,Cole Aldrich\aldrico01,2014-15,26,NYK,NBA,61,16.0,6-11,16,976,5.3,11.1,5.3,11.1,0.0,0.0,1.8,2.4,3.7,8.7,12.5,2.8,1.4,2.4,2.2,4.5,12.5,.478,.478,,.478,.781,.513
4,LaMarcus Aldridge\aldrila01,2014-15,29,POR,NBA,71,35.4,6-11,71,2512,9.4,20.3,8.9,18.8,0.5,1.5,4.4,5.2,2.5,7.9,10.4,1.8,0.7,1.0,1.7,1.8,23.8,.466,.475,.352,.479,.845,.528
5,Lavoy Allen\allenla01,2014-15,25,IND,NBA,63,17.0,6-9,0,1070,4.7,10.1,4.7,10.1,0.0,0.0,1.1,1.6,4.1,6.7,10.9,2.5,0.5,1.4,1.3,3.4,10.6,.472,.472,,.472,.702,.493
6,Al-Farouq Aminu\aminual01,2014-15,24,DAL,NBA,74,18.5,6-9,3,1366,3.9,9.4,3.0,6.1,0.9,3.3,2.2,3.1,3.0,6.0,9.0,1.6,1.8,1.6,1.4,3.6,10.9,.412,.485,.274,.459,.712,.504
7,Lou Amundson\amundlo01,2014-15,32,TOT,NBA,53,17.7,6-9,35,937,4.2,9.8,4.2,9.8,0.0,0.0,1.6,3.3,3.6,6.7,10.3,2.7,0.8,2.0,2.4,4.8,10.0,.427,.429,.000,.427,.471,.442
8,Chris Andersen\anderch01,2014-15,36,MIA,NBA,60,18.9,6-10,20,1132,3.8,6.6,3.7,6.2,0.1,0.4,2.4,3.6,2.4,7.1,9.5,1.4,0.8,1.9,1.3,2.8,10.2,.580,.598,.308,.589,.667,.622
9,Ryan Anderson\anderry01,2014-15,26,NOP,NBA,61,27.5,6-10,5,1675,6.3,15.7,3.6,8.0,2.6,7.7,2.8,3.2,2.3,4.0,6.3,1.2,0.7,0.4,1.3,2.4,17.9,.399,.457,.340,.483,.854,.524
10,Giannis Antetokounmpo\antetgi01,2014-15,20,MIL,NBA,81,31.4,6-11,71,2541,5.4,11.1,5.3,10.4,0.1,0.6,3.6,4.9,1.4,6.3,7.7,2.9,1.0,1.2,2.5,3.6,14.6,.491,.511,.159,.496,.741,.552
11,Pero Antic\anticpe01,2014-15,32,ATL,NBA,63,16.5,6-11,3,1037,3.7,10.3,1.9,4.3,1.8,6.0,3.1,4.3,2.0,4.5,6.6,1.7,0.6,0.5,1.7,4.6,12.4,.365,.455,.301,.453,.715,.508
12,Darrell Arthur\arthuda01,2014-15,26,DEN,NBA,58,17.0,6-9,4,988,5.6,14.0,4.7,10.0,0.9,4.0,1.7,2.1,1.9,4.3,6.2,2.1,1.7,0.9,1.7,5.3,13.9,.404,.471,.236,.438,.780,.466
13,Omer Asik\asikom01,2014-15,28,NOP,NBA,76,26.1,7-0,76,1982,3.9,7.5,3.9,7.5,0.0,0.0,2.4,4.1,4.4,9.2,13.6,1.3,0.5,1.0,1.7,2.6,10.1,.517,.517,,.517,.582,.545
