player_year,MP_x,tchs,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Tristan Thompson/2016-17,29.9,39.231578947399996,4.0,0.0,0.0,0.48700000000000004,0.594,4.4,11.0,4.6,0.8,2.9,0.006999999999999999,2.3,1.5,2.1111578947400003,7.07368421053,11
Elfrid Payton/2016-17,29.4,71.0,5.8,0.6,2.2,0.231,0.52,1.3,5.8,35.7,1.8,1.3,0.16,2.0,0.2,2.11195121951,2.15853658537,2
Thaddeus Young/2014-15,32.0,61.1547619048,6.1,0.6,1.7,0.207,0.507,1.9,6.1,12.4,2.6,0.8,0.11900000000000001,1.4,-0.3,2.11547619048,4.13095238095,8
Danny Green/2014-15,28.5,46.5730337079,2.0,3.0,7.1,0.172,0.596,0.8,5.3,10.3,2.2,2.8,0.619,3.9,2.2,2.1168539325799998,3.0786516853900006,1
Arron Afflalo/2014-15,32.1,36.2530120482,3.7,1.7,4.8,0.22399999999999998,0.5329999999999999,0.4,3.6,8.2,0.8,0.2,0.377,1.0,-1.3,2.11746987952,0.927710843373,11
Andre Roberson/2016-17,30.1,32.8139534884,2.6,0.7,2.8,0.24,0.51,1.5,6.1,4.6,1.9,2.7,0.397,3.1,2.1,2.11906976744,3.8255813953500004,11
TJ Warren/2016-17,31.0,38.194029850700005,6.6,0.5,1.7,0.18899999999999997,0.539,2.2,6.0,5.8,1.8,1.5,0.12,1.1,-0.5,2.12402985075,1.9850746268700001,11
Rudy Gay/2014-15,35.4,54.4078947368,6.4,1.2,3.3,0.35200000000000004,0.556,1.5,6.0,19.0,1.5,1.3,0.19699999999999998,1.3,-0.7,2.1269736842099998,2.39473684211,8
Jae Crowder/2015-16,31.6,48.0125,3.7,1.9,5.7,0.294,0.565,1.1,5.8,8.9,2.7,1.2,0.446,3.5,1.3,2.127125,2.4875,1
Giannis Antetokounmpo/2014-15,31.4,49.375,5.3,0.1,0.6,0.445,0.552,1.4,7.7,13.1,1.5,2.8,0.055999999999999994,4.0,2.1,2.13306818182,4.159090909090001,1
Draymond Green/2014-15,31.5,68.1386138614,3.3,1.6,4.8,0.261,0.54,1.6,9.4,16.1,2.4,2.9,0.43,5.2,4.0,2.13811881188,6.55445544554,4
Derrick Rose/2014-15,30.0,78.9848484848,6.2,1.8,6.4,0.22399999999999998,0.493,0.8,3.8,30.7,1.2,0.8,0.325,1.2,-2.3,2.13818181818,1.78787878788,2
Marvin Williams/2016-17,30.2,60.4533333333,2.7,1.9,5.6,0.213,0.551,1.4,7.8,7.1,1.3,2.0,0.503,2.6,0.5,2.1424,4.0,8
Goran Dragic/2016-17,33.7,73.8048780488,6.1,1.7,4.2,0.335,0.575,0.9,4.1,29.0,1.8,0.4,0.257,2.6,-0.7,2.14304878049,2.1829268292700004,2
Michael KiddGilchrist/2016-17,29.0,35.0,4.5,0.0,0.1,0.314,0.528,2.4,8.7,7.4,1.7,2.9,0.015,3.1,2.2,2.143375,3.875,11
Tobias Harris/2014-15,34.8,48.960526315799996,5.4,1.3,3.6,0.258,0.551,1.1,6.5,8.8,1.5,1.2,0.252,1.8,-0.7,2.14460526316,3.1052631578900005,1
Courtney Lee/2014-15,30.6,40.9662921348,3.0,1.4,3.4,0.201,0.555,0.3,2.7,9.8,1.7,0.4,0.348,2.4,0.2,2.14573033708,1.10112359551,11
Kyrie Irving/2015-16,31.5,74.2533333333,6.7,1.8,5.7,0.217,0.54,1.0,3.4,26.6,1.7,0.9,0.298,1.7,-1.4,2.14853333333,2.05333333333,2
