Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,2016-17,23,OKC,NBA,80,29.9,.589,80,2389,16.5,.002,.392,13.0,15.5,14.2,5.4,1.8,2.6,16.0,16.2,114,107,3.3,3.1,6.4,.130,-0.7,1.2,0.5,1.5
2,Ryan Anderson\anderry01,2016-17,28,HOU,NBA,72,29.4,.583,72,2116,13.5,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,119,113,4.0,1.1,5.2,.118,1.8,-2.6,-0.8,0.6
3,Giannis Antetokounmpo\antetgi01,2016-17,22,MIL,NBA,80,35.6,.599,80,2845,26.1,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,116,104,7.9,4.5,12.4,.210,4.1,3.5,7.6,6.9
4,Brandon Bass\bassbr01,2016-17,31,LAC,NBA,52,11.1,.650,0,577,19.7,.016,.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,125,109,1.6,0.6,2.2,.186,0.1,-0.8,-0.7,0.2
5,Aron Baynes\baynear01,2016-17,30,DET,NBA,75,15.5,.570,2,1163,13.1,.000,.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,114,106,1.4,1.5,3.0,.123,-2.9,1.1,-1.8,0.1
6,Bradley Beal\bealbr01,2016-17,23,WAS,NBA,77,34.9,.604,77,2684,20.1,.418,.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,117,112,6.8,1.6,8.5,.151,4.5,-2.4,2.2,2.8
7,Michael Beasley\beaslmi01,2016-17,28,MIL,NBA,56,16.7,.584,6,935,17.8,.106,.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,106,108,0.8,1.0,1.8,.093,-1.7,-1.1,-2.9,-0.2
8,Davis Bertans\bertada01,2016-17,24,SAS,NBA,67,12.1,.609,6,808,12.9,.739,.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,115,105,1.1,1.2,2.3,.135,1.2,0.5,1.7,0.8
9,Bojan Bogdanovic\bogdabo02,2016-17,27,TOT,NBA,81,25.7,.585,54,2083,13.5,.464,.288,1.9,12.3,7.2,8.7,0.8,0.3,12.0,22.4,108,114,2.0,0.9,2.9,.067,-0.1,-2.8,-2.8,-0.4
10,Jimmy Butler\butleji01,2016-17,27,CHI,NBA,76,37.0,.586,75,2809,25.1,.198,.540,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,123,106,10.1,3.8,13.8,.236,5.8,1.1,6.9,6.3
