,player,id
761,Serge Ibaka,201586
763,Tyson Chandler,2199
765,Jerryd Bayless,201573
766,Richard Jefferson,2210
771,Shawne Williams,200761
774,Carl Landry,201171
782,Victor Oladipo,203506
784,Jason Thompson,201574
785,Tony Snell,203503
786,Dion Waiters,203079
788,Andre Miller,1889
794,Kent Bazemore,203145
798,Tayshaun Prince,2419
801,Klay Thompson,202691
803,Terrence Ross,203082
808,Gerald Henderson,201945
812,Andre Drummond,203083
813,Nicolas Batum,201587
817,Phil Pressey,203515
818,Arron Afflalo,201167
820,Cody Zeller,203469
821,Marcus Morris,202694
825,Derrick Rose,201565
829,Quincy Pondexter,202347
831,Luis Scola,2449
834,Marcin Gortat,101162
837,Kawhi Leonard,202695
841,Al Jefferson,2744
846,Devin Harris,2734
847,Shane Larkin,203499
855,Tarik Black,204028
856,JaKarr Sampson,203960
857,Nerlens Noel,203457
862,Giannis Antetokounmpo,203507
864,Andre Iguodala,2738
867,Alonzo Gee,202087
868,Gary Harris,203914
874,Evan Fournier,203095
880,Jared Dudley,201162
882,John Henson,203089
883,Donatas Motiejunas,202700
889,Andre Roberson,203460
892,Jonas Jerebko,201973
893,Aron Baynes,203382
894,Jarrett Jack,101127
895,Markieff Morris,202693
896,Alex Len,203458
901,Paul Pierce,1718
906,Patty Mills,201988
907,Greg Monroe,202328
914,Chandler Parsons,202718
916,Chris Andersen,2365
921,Ed Davis,202334
922,Gerald Green,101123
923,Nikola Mirotic,202703
927,Otto Porter,203490
931,DJ Augustin,201571
933,Jimmy Butler,202710
935,Andrew Bogut,101106
936,Derrick Favors,202324
938,Kendrick Perkins,2570
945,Jeremy Lin,202391
948,Alexis Ajinca,201582
949,Tyler Zeller,203092
954,Lou Amundson,200811
