Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Arron Afflalo\afflaar01,2013-14,28,ORL,NBA,73,35.0,.574,73,2552,16.0,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,110,112,4.3,1.0,5.3,.099,1.7,-2.3,-0.6,0.9
2,Alexis Ajinca\ajincal01,2013-14,25,NOP,NBA,56,17.0,.589,30,951,14.6,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,110,107,1.2,0.9,2.1,.104,-1.5,0.8,-0.7,0.3
3,Ray Allen\allenra02,2013-14,38,MIA,NBA,73,26.5,.590,9,1936,12.8,.569,.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,111,109,2.5,1.5,4.1,.101,1.3,-1.2,0.1,1.0
4,Chris Andersen\anderch01,2013-14,35,MIA,NBA,72,19.4,.683,0,1396,18.5,.044,.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,130,102,3.8,2.2,6.0,.205,0.1,1.5,1.6,1.3
5,Carmelo Anthony\anthoca01,2013-14,29,NYK,NBA,77,38.7,.561,77,2982,24.4,.253,.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,113,108,8.1,2.5,10.7,.172,4.6,-1.0,3.6,4.2
6,Trevor Ariza\arizatr01,2013-14,28,WAS,NBA,77,35.4,.590,77,2723,15.8,.518,.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,113,104,4.3,3.7,8.0,.141,2.3,1.1,3.4,3.6
7,D.J. Augustin\augusdj01,2013-14,26,TOT,NBA,71,27.3,.569,9,1939,16.2,.462,.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,113,105,3.8,2.4,6.2,.154,2.6,-2.2,0.4,1.2
8,Jeff Ayres\pendeje02,2013-14,26,SAS,NBA,73,13.0,.605,10,952,11.1,.000,.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,110,103,1.0,1.4,2.4,.121,-1.6,2.1,0.5,0.6
9,Nicolas Batum\batumni01,2013-14,25,POR,NBA,82,36.0,.589,82,2956,15.8,.491,.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,113,106,4.8,3.1,7.9,.128,2.4,1.8,4.2,4.6
10,Michael Beasley\beaslmi01,2013-14,25,MIA,NBA,55,15.1,.559,2,831,16.8,.152,.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,103,105,0.5,1.1,1.6,.092,-2.2,-1.2,-3.5,-0.3
11,Marco Belinelli\belinma01,2013-14,27,SAS,NBA,80,25.2,.605,25,2016,15.0,.422,.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,114,105,3.5,2.4,5.9,.140,1.9,-0.3,1.7,1.9
12,Bismack Biyombo\biyombi01,2013-14,21,CHA,NBA,77,13.9,.606,9,1072,13.3,.000,.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,115,99,1.1,2.1,3.2,.144,-4.7,2.2,-2.5,-0.1
13,DeJuan Blair\blairde01,2013-14,24,DAL,NBA,78,15.6,.557,13,1214,17.3,.005,.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,110,105,1.8,1.5,3.4,.133,-0.2,0.8,0.6,0.8
14,Andrew Bogut\bogutan01,2013-14,29,GSW,NBA,67,26.4,.610,67,1769,17.0,.000,.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,115,96,2.4,4.0,6.5,.176,-1.2,5.6,4.4,2.8
